Airports (large hubs),IATA Code,Major cities served,State,Passenger Count (2014),Rank
Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA,46604273,1
Los Angeles International Airport,LAX,Los Angeles,CA,34314197,2
O'Hare International Airport,ORD,Chicago,IL,33843426,3
Dallas/Fort Worth International Airport,DFW,Dallas & Ft. Worth,TX,30804567,4
John F. Kennedy International Airport,JFK,New York City,NY,26244928,5
Denver International Airport,DEN,Denver,CO,26000591,6
San Francisco International Airport,SFO,San Francisco,CA,22770783,7
Charlotte Douglas International Airport,CLT,Charlotte,NC,21537725,8
Harry Reid International Airport,LAS,Las Vegas,NV,20620248,9
Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,20344867,10
George Bush Intercontinental Airport,IAH,Houston,TX,19772087,11
Miami International Airport,MIA,Miami,FL,19471466,12
Seattle–Tacoma International Airport,SEA,Seattle,WA,17888080,13
Newark Liberty International Airport,EWR,Newark & New York City,NJ,17773405,14
Orlando International Airport,MCO,Orlando,FL,17278608,15
Minneapolis–Saint Paul International Airport,MSP,Minneapolis & Saint Paul,MN,16972678,16
Detroit Metropolitan Airport,DTW,Detroit,MI,15775941,17
Logan International Airport,BOS,Boston,MA,15507561,18
Philadelphia International Airport,PHL,Philadelphia,PA,14792339,19
LaGuardia Airport,LGA,New York City,NY,13535372,20
Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL,12031860,21
Baltimore/Washington International Airport,BWI,"Baltimore & Washington, D.C.",MD,11022200,22
Washington Dulles International Airport,IAD,"Washington, D.C.",VA,10415948,23
Midway International Airport,MDW,Chicago,IL,10311996,24
Salt Lake City International Airport,SLC,Salt Lake City,UT,10139065,25
Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA,10057794,26
Daniel K. Inouye International Airport,HNL,Honolulu,HI,9463000,27
San Diego International Airport,SAN,San Diego,CA,9333152,28
Tampa International Airport,TPA,Tampa,FL,8531561,29
Portland International Airport,PDX,Portland,OR,7878760,30
St. Louis Lambert International Airport,STL,St. Louis,MO,6108758,31
William P. Hobby Airport,HOU,Houston,TX,5800726,32
Nashville International Airport,BNA,Nashville,TN,5396958,33
Austin–Bergstrom International Airport,AUS,Austin,TX,5219982,34
Oakland International Airport,OAK,Oakland,CA,5069257,35
Kansas City International Airport,MCI,Kansas City,MO,4982722,36
Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA,4870569,37
Raleigh-Durham International Airport,RDU,Raleigh,NC,4673869,38
Norman Y. Mineta San José International Airport,SJC,San Jose,CA,4621003,39
John Wayne Airport,SNA,Orange County,CA,4584147,40
Dallas Love Field,DAL,Dallas,TX,4522341,41
Sacramento International Airport,SMF,Sacramento,CA,4384616,42
Luis Muñoz Marín International Airport,SJU,San Juan,PR,4150828,43
San Antonio International Airport,SAT,San Antonio,TX,4046856,44
Southwest Florida International Airport[13],RSW,Fort Myers,FL,4025959,45
Pittsburgh International Airport,PIT,Pittsburgh,PA,3827860,46
Cleveland Hopkins International Airport,CLE,Cleveland,OH,3686315,47
Indianapolis International Airport,IND,Indianapolis,IN,3605908,48
Milwaukee Mitchell International Airport,MKE,Milwaukee,WI,3228607,49
John Glenn Columbus International Airport,CMH,Columbus,OH,3115501,50
Kahului Airport,OGG,Kahului,HI,3019338,51
Palm Beach International Airport,PBI,West Palm Beach,FL,2926242,52
Bradley International Airport,BDL,Hartford,CT,2913380,53
Cincinnati/Northern Kentucky International Airport,CVG,Cincinnati/Covington,OH/KY,2874684,54
Jacksonville International Airport,JAX,Jacksonville,FL,2589198,55
Ted Stevens Anchorage International Airport,ANC,Anchorage,AK,2381826,56
Ontario International Airport,ONT,Ontario,CA,2037346,57
Eppley Airfield,OMA,Omaha,NE,2020354,58
